Episode,Loss,Info
0,10.0,341
1,9.0,151
2,8.1,231
3,7.29,772
4,6.561,371
5,5.9049,41
6,5.31441,234
7,4.782969,687
8,4.3046720999999994,105
9,3.8742048899999997,71
10,3.4867844009999995,104
11,3.1381059609,59
12,2.82429536481,44
13,2.5418658283290005,27
14,2.2876792454961006,30
15,2.058911320946491,29
16,1.8530201888518416,21
17,1.6677181699666583,25
18,1.5009463529699918,21
19,1.3508517176729917,21
20,1.2157665459056926,31
21,1.0941898913151231,19
22,0.9847709021836106,19
23,0.886293811965249,19
24,0.7976644307687248,23
25,0.7178979876918525,20
26,0.6461081889226676,21
27,0.5814973700304016,23
28,0.5233476330273614,23
29,0.47101286972462475,23
30,0.42391158275216156,19
31,0.3815204244769461,21
32,0.3433683820292508,19
33,0.30903154382632536,19
34,0.2781283894436921,25
35,0.2503155504993231,21
36,0.22528399544939148,23
37,0.2027555959044527,21
38,0.18248003631400778,21
39,0.164232032682607,19
40,0.14780882941434648,19
41,0.13302794647291094,25
42,0.11972515182561949,19
43,0.1077526366430579,21
44,0.09697737297875264,19
45,0.08727963568087738,23
46,0.07855167211278946,27
47,0.07069650490151069,21
48,0.06362685441136051,19
49,0.05726416897022446,23
50,0.05153775207320166,19
51,0.04638397686588114,21
52,0.04174557917929356,25
53,0.037571021261364024,21
54,0.03381391913522691,19
55,0.030432527221703864,21
56,0.027389274499533656,19
57,0.02465034704957958,21
58,0.02218531234462162,27
59,0.019966781110159815,21
60,0.017970102999143478,23
61,0.01617309269922984,19
62,0.014555783429306857,22
63,0.013100205086375993,23
64,0.011790184577737506,19
65,0.010611166119963045,21
66,0.009550049507966563,19
67,0.008595044557170084,19
68,0.0077355401014536085,19
69,0.006961986091308603,19
70,0.006265787482178098,23
71,0.005639208733960288,21
72,0.005075287860563549,19
73,0.004567759074507904,19
74,0.0041109831670578245,26
75,0.0036998848503522197,21
76,0.0033298963653169977,19
77,0.002996906728785831,21
78,0.0026972160559068925,19
79,0.0024274944503162033,21
80,0.0021847450052838724,29
81,0.0019662705047558404,19
82,0.0017696434542795458,23
83,0.0015926791088514136,21
84,0.0014334111979668052,19
85,0.001290070078169947,27
86,0.0011610630703522418,21
87,0.0010449567633177281,21
88,0.0009404610869854224,19
89,0.0008464149782874131,21
90,0.000761773480459027,23
91,0.0006855961324134796,21
92,0.0006170365191717764,19
93,0.0005553328672540658,21
94,0.0004997995805293698,29
95,0.0004498196224762552,19
96,0.0004048376602288073,21
97,0.00036435389420574893,19
98,0.0003279185047855293,23
99,0.00029512665430786456,25
100,0.00026561398887636756,23
101,0.00023905258998802026,19
102,0.0002151473309890406,23
103,0.0001936325978899589,21
104,0.00017426933810149592,19
105,0.00015684240429081342,25
106,0.00014115816386173208,21
107,0.0001270423474757365,19
108,0.0001143381127288734,21
109,0.00010290430145687424,23
110,9.261387131154208e-05,19
111,8.335248418056551e-05,21
112,7.501723576197605e-05,19
113,6.751551218542318e-05,21
114,6.076396096688086e-05,23
115,5.468756486948223e-05,21
116,4.9218808381823465e-05,19
117,4.4296927542930575e-05,19
118,3.986723478810461e-05,23
119,3.588051130876124e-05,19
120,3.229246017788512e-05,19
121,2.9063214160629514e-05,19
122,2.615689274421129e-05,20
123,2.3541203470145433e-05,21
124,2.1187083122597983e-05,21
125,1.9068374809805277e-05,21
126,1.7161537329002385e-05,21
127,1.5445383596102147e-05,25
128,1.390084523578139e-05,21
129,1.2510760711847979e-05,23
130,1.1259684640663181e-05,23
